id,instant_kl,accum_kl,train_loss,kl_loss,grad_norm,truncated,resp_len
1,0.139022,0.138952,0.138952,0.000000,0.152427,0.917969,4006.320312
2,0.138297,0.138276,0.138276,0.000631,0.138753,0.960938,4068.011719
3,0.142248,0.142210,0.142210,0.000700,0.144063,0.953125,4069.730469
4,0.138858,0.138868,0.138868,0.000769,0.134299,0.937500,4042.128906
5,0.133586,0.133598,0.133597,0.000971,0.127021,0.917969,3996.636719
6,0.124744,0.124742,0.124742,0.001466,0.110312,0.957031,4074.785156
7,0.124977,0.124987,0.124987,0.001821,0.118671,0.929688,4042.839844
8,0.132041,0.131983,0.131983,0.002230,0.115672,0.910156,4018.304688
9,0.127648,0.127640,0.127640,0.003192,0.113983,0.914062,4015.683594
10,0.123724,0.123685,0.123685,0.005305,0.104527,0.921875,4052.722656
11,0.129931,0.129936,0.129936,0.007070,0.106292,0.906250,4018.460938
12,0.119581,0.119536,0.119536,0.008855,0.102312,0.910156,4040.105469
13,0.124486,0.124471,0.124471,0.010468,0.104577,0.929688,4020.984375
14,0.120068,0.120063,0.120063,0.011951,0.104518,0.921875,4016.687500
15,0.116481,0.116460,0.116460,0.013666,0.102839,0.933594,4022.332031
16,0.122435,0.122424,0.122424,0.015037,0.096332,0.921875,4008.117188
17,0.108750,0.108722,0.108722,0.018500,0.090717,0.906250,3996.246094
18,0.113427,0.113394,0.113394,0.023751,0.083006,0.929688,4031.367188
19,0.115806,0.115738,0.115738,0.029022,0.091121,0.910156,4026.597656
20,0.116512,0.116503,0.116503,0.031128,0.156292,0.949219,4041.808594
21,0.107258,0.107143,0.107143,0.034744,0.082023,0.949219,4038.949219
22,0.118164,0.118133,0.118133,0.037954,0.086821,0.921875,4056.328125
23,0.119468,0.119454,0.119454,0.038849,0.086575,0.906250,3983.113281
24,0.111383,0.111361,0.111361,0.038808,0.079758,0.910156,4007.457031
25,0.098385,0.098335,0.098335,0.037504,0.073068,0.949219,4067.671875
